Fecha,Hora,Turno,Historical_Weight_g,Temperatura (°C),Viscosidad (mPa.s),Presión (bar),Etapa,Optimized_Weight_g
2024-09-09,05:34,noche,6.3634,15.43,1627,6.5,Crema,4.944283870100631
2024-09-09,06:18,noche,7.1855,14.0,1827,6.5,Crema,4.788873245792327
2024-09-10,06:06,mañana,7.6951,14.0,1786,6.5,Crema,4.8833274968613685
2024-09-10,07:18,mañana,6.7438,15.41,1640,6.5,Crema,4.8334136231801255
2024-09-10,08:49,mañana,6.322,16.77,1466,6.5,Crema,5.262840566513543
2024-09-10,09:58,mañana,7.6644,20.07,1056,5.79,Crema,5.140351758972119
2024-09-10,10:59,mañana,8.0128,21.31,895,5.5,Crema,5.190733264249124
2024-09-10,11:44,mañana,8.6528,21.36,874,5.5,Crema,5.108250809606485
2024-09-10,12:44,mañana,6.9196,23.39,666,5.0,Crema,4.830642234317415
2024-09-10,13:59,mañana,7.9241,25.17,422,5.0,Crema,4.921321960058034
2024-09-10,14:46,mañana,6.8132,27.0,200,5.0,Crema,5.073406184184187
2024-09-10,14:45,tarde,7.7161,26.33,297,5.0,Crema,4.816680828666208
2024-09-10,15:34,tarde,8.2212,26.03,314,5.0,Crema,5.106949764525858
2024-09-10,16:31,tarde,7.2242,24.75,481,5.0,Crema,4.96395119027628
2024-09-10,17:17,tarde,7.6639,26.25,320,5.0,Crema,4.943776878867561
2024-09-10,18:38,tarde,6.7977,24.5,497,5.0,Crema,5.106643995230524
2024-09-10,19:47,tarde,7.2346,21.72,836,5.22,Crema,5.066639496722906
2024-09-10,20:31,tarde,7.3374,20.34,1047,6.06,Crema,4.945855075127138
2024-09-10,21:14,tarde,8.2801,22.26,769,5.03,Crema,5.1738994705046375
2024-09-10,22:09,tarde,7.7884,18.97,1185,6.13,Crema,4.837840500860016
2024-09-10,22:17,noche,7.7647,20.94,948,5.56,Crema,5.092390341041639
2024-09-10,23:44,noche,7.7974,19.11,1170,6.32,Crema,5.088965188695258
2024-09-10,00:52,noche,7.0323,18.16,1271,6.5,Crema,4.953568034102902
2024-09-10,01:24,noche,6.679,17.53,1373,6.5,Crema,5.048919953336318
2024-09-10,02:55,noche,6.7668,17.17,1406,6.5,Crema,4.812332963542205
2024-09-10,03:19,noche,6.9386,15.19,1650,6.5,Crema,5.1386040528810355
2024-09-10,04:30,noche,6.1032,14.08,1795,6.5,Crema,4.972264679533551
2024-09-10,05:30,noche,7.3565,14.54,1717,6.5,Crema,4.921591546922144
2024-09-10,06:21,noche,7.5759,15.5,1633,6.5,Crema,5.157351383875533
2024-09-11,06:29,mañana,7.2037,14.21,1776,6.5,Crema,4.8943484464185865
2024-09-11,07:39,mañana,7.1513,15.58,1602,6.5,Crema,4.788730805545466
2024-09-11,08:37,mañana,6.6269,16.51,1489,6.5,Crema,4.7665056239714145
2024-09-11,09:43,mañana,7.6321,20.08,1042,5.68,Crema,5.090901492701846
2024-09-11,10:43,mañana,6.4273,20.38,1032,5.79,Crema,4.8079355971255575
2024-09-11,11:35,mañana,6.561,22.33,781,5.24,Crema,5.2632191272976545
2024-09-11,12:08,mañana,7.7565,22.94,722,5.0,Crema,4.687710588817442
2024-09-11,13:55,mañana,7.3652,25.66,381,5.0,Crema,5.254468455243506
2024-09-11,14:38,mañana,7.6843,26.47,264,5.0,Crema,5.031652620080393
2024-09-11,14:16,tarde,7.4752,26.38,298,5.0,Crema,4.985493033219441
2024-09-11,15:36,tarde,8.164,27.0,213,5.0,Crema,4.918262136978657
2024-09-11,16:28,tarde,7.956,23.74,625,5.0,Crema,5.059870417152811
2024-09-11,17:43,tarde,8.2997,22.63,726,5.0,Crema,4.994354794636273
2024-09-11,18:49,tarde,8.4456,21.18,918,5.39,Crema,5.165495282302478
2024-09-11,19:39,tarde,8.2329,22.39,779,5.09,Crema,5.017134147299306
2024-09-11,20:59,tarde,8.3007,21.8,853,5.22,Crema,5.022545264219282
2024-09-11,21:00,tarde,6.8836,19.89,1055,5.67,Crema,4.945458168167922
2024-09-11,22:00,tarde,8.5944,20.18,1043,5.88,Crema,4.99145815644184
2024-09-11,22:27,noche,7.0434,20.74,958,5.5,Crema,5.046170265333809
2024-09-11,23:12,noche,6.3152,18.56,1251,6.49,Crema,4.743474741101506
2024-09-11,00:30,noche,7.581,18.31,1267,6.19,Crema,4.797772186684143
2024-09-11,01:03,noche,7.0666,17.07,1406,6.5,Crema,5.111489614103407
2024-09-11,02:15,noche,6.2286,17.42,1399,6.5,Crema,5.025629815719191
2024-09-11,03:38,noche,6.7931,16.55,1503,6.5,Crema,4.972402499547099
2024-09-11,04:41,noche,7.3791,17.93,1317,6.5,Crema,5.002765089959809
2024-09-11,05:24,noche,6.4241,14.56,1731,6.5,Crema,5.052137255804251
2024-09-11,06:50,noche,7.6099,14.0,1793,6.5,Crema,4.919036047953596
2024-09-12,06:13,mañana,6.6425,14.0,1805,6.5,Crema,4.883254291189653
2024-09-12,07:35,mañana,6.8242,15.7,1607,6.5,Crema,5.029376788264652
2024-09-12,08:39,mañana,7.3413,18.7,1242,6.3,Crema,4.853244083357745
2024-09-12,09:51,mañana,7.3512,18.24,1284,6.32,Crema,5.0612379133571705
2024-09-12,10:30,mañana,7.5989,21.3,897,5.44,Crema,4.7446124593643235
2024-09-12,11:43,mañana,8.3083,20.97,912,5.3,Crema,5.154373345598847
2024-09-12,12:18,mañana,7.0614,23.69,584,5.0,Crema,5.070889622361957
2024-09-12,13:04,mañana,7.1315,25.2,428,5.0,Crema,5.038404460147081
2024-09-12,14:59,mañana,7.5151,26.99,213,5.0,Crema,5.147403647591827
2024-09-12,14:42,tarde,8.3327,27.0,200,5.0,Crema,5.249821166669387
2024-09-12,15:09,tarde,7.9248,26.52,281,5.0,Crema,5.15215550975272
2024-09-12,16:55,tarde,8.1999,24.47,519,5.0,Crema,4.723868865300253
2024-09-12,17:09,tarde,7.5405,23.27,647,5.0,Crema,4.808063454989645
2024-09-12,18:33,tarde,8.2365,23.26,663,5.0,Crema,4.906277213345648
2024-09-12,19:38,tarde,8.0048,23.21,671,5.0,Crema,5.003913657531625
2024-09-12,20:18,tarde,8.4639,20.36,1004,5.67,Crema,5.077648853070368
2024-09-12,21:35,tarde,8.0128,21.12,934,5.46,Crema,4.89113842802698
2024-09-12,22:25,tarde,8.1676,19.23,1160,5.99,Crema,5.028015014671562
2024-09-12,22:18,noche,6.4878,21.54,868,5.35,Crema,4.886692560147002
2024-09-12,23:17,noche,6.3932,18.35,1275,6.5,Crema,4.908272329551208
2024-09-12,00:57,noche,7.1577,18.25,1302,6.32,Crema,4.789000835472766
2024-09-12,01:49,noche,7.1954,16.03,1544,6.5,Crema,4.861515013083364
2024-09-12,02:44,noche,7.3879,15.88,1577,6.5,Crema,4.79724730915755
2024-09-12,03:13,noche,6.1044,16.31,1527,6.5,Crema,4.8536190120534
2024-09-12,04:33,noche,6.997,15.05,1675,6.5,Crema,5.158046269491176
2024-09-12,05:00,noche,7.4186,14.61,1729,6.5,Crema,4.857590166675209
2024-09-12,06:51,noche,6.9705,14.0,1804,6.5,Crema,5.394857309725609
2024-09-13,06:45,mañana,7.4996,14.75,1692,6.5,Crema,5.073997685132134
2024-09-13,07:24,mañana,6.7399,16.62,1449,6.5,Crema,5.0277254185542315
2024-09-13,08:32,mañana,7.1803,17.1,1426,6.5,Crema,4.871246332972818
2024-09-13,09:53,mañana,7.824,20.02,1054,5.79,Crema,5.105046481911349
2024-09-13,10:11,mañana,7.9803,18.65,1230,6.23,Crema,4.913654326064334
2024-09-13,11:59,mañana,7.4861,23.21,650,5.0,Crema,5.0183014721968044
2024-09-13,12:18,mañana,7.2773,24.69,480,5.0,Crema,5.3840126807403195
2024-09-13,13:27,mañana,6.532,24.68,484,5.0,Crema,4.985591015041303
2024-09-13,14:53,mañana,6.9479,24.94,465,5.0,Crema,5.172390998942851
2024-09-13,14:54,tarde,8.0793,26.93,214,5.0,Crema,4.894523536231117
2024-09-13,15:35,tarde,7.4802,26.97,222,5.0,Crema,4.994751726425456
2024-09-13,16:47,tarde,7.9257,26.69,231,5.0,Crema,5.2656200953453265
2024-09-13,17:08,tarde,7.4423,22.67,721,5.0,Crema,4.905954941331835
2024-09-13,18:02,tarde,7.7321,24.18,544,5.0,Crema,5.27186728369954
2024-09-13,19:53,tarde,7.8726,22.56,743,5.05,Crema,5.106162790318321
2024-09-13,20:41,tarde,7.4069,21.22,908,5.3,Crema,4.91562998361586
2024-09-13,21:33,tarde,7.6011,20.3,1042,5.53,Crema,5.094861160858328
2024-09-13,22:46,tarde,7.8071,20.93,959,5.43,Crema,5.145883167444009
2024-09-13,22:11,noche,7.8962,20.14,1048,5.8,Crema,5.09327149433258
2024-09-13,23:09,noche,7.5934,18.52,1210,6.34,Crema,4.764466292016431
2024-09-13,00:13,noche,7.1172,17.64,1366,6.5,Crema,4.89092942362627
2024-09-13,01:35,noche,6.422,16.94,1438,6.5,Crema,4.962872204667274
2024-09-13,02:58,noche,7.3699,18.69,1209,6.31,Crema,4.988834985634993
2024-09-13,03:36,noche,7.1611,17.35,1398,6.5,Crema,5.093100814632602
2024-09-13,04:51,noche,7.5248,14.67,1710,6.5,Crema,5.026655150139988
2024-09-13,05:01,noche,6.8602,16.57,1488,6.5,Crema,4.799698346193485
2024-09-13,06:46,noche,6.7448,14.0,1801,6.5,Crema,5.0570296776508945
2024-09-16,06:08,mañana,6.9143,15.22,1663,6.5,Crema,5.091587861792574
2024-09-16,07:05,mañana,6.2499,14.77,1703,6.5,Crema,5.083968567189656
2024-09-16,08:52,mañana,7.3625,17.78,1308,6.48,Crema,5.162117108833193
2024-09-16,09:09,mañana,7.6016,19.42,1121,5.88,Crema,5.125088323182336
2024-09-16,10:13,mañana,7.0436,21.59,882,5.32,Crema,5.068877011884266
2024-09-16,11:08,mañana,7.2532,22.09,795,5.15,Crema,4.989475143281203
2024-09-16,12:25,mañana,7.4511,23.65,606,5.0,Crema,4.750855859972601
2024-09-16,13:21,mañana,6.3659,26.14,288,5.0,Crema,5.064442732869888
2024-09-16,14:57,mañana,5.9685,27.0,200,5.0,Crema,5.031153153074467
2024-09-16,14:32,tarde,7.2241,26.99,200,5.0,Crema,5.040736825579306
2024-09-16,15:46,tarde,7.8598,27.0,200,5.0,Crema,4.8084877136269535
2024-09-16,16:55,tarde,7.5228,25.57,424,5.0,Crema,4.8378415189387605
2024-09-16,17:53,tarde,7.9383,23.85,601,5.0,Crema,5.157972927999936
2024-09-16,18:19,tarde,7.2962,22.36,781,5.0,Crema,4.994066726921502
2024-09-16,19:09,tarde,7.7556,22.18,806,5.0,Crema,5.1022251046058935
2024-09-16,20:27,tarde,7.2659,21.18,927,5.47,Crema,5.004247756419569
2024-09-16,21:15,tarde,8.6047,20.71,972,5.58,Crema,5.0044634209243615
2024-09-16,22:36,tarde,7.2451,18.65,1232,6.4,Crema,5.1407425708964
2024-09-16,22:58,noche,7.1528,18.56,1230,6.23,Crema,4.922593290767394
2024-09-16,23:27,noche,6.569,19.3,1135,6.07,Crema,5.014418116541147
2024-09-16,00:09,noche,6.7449,18.77,1211,6.38,Crema,4.930658706694244
2024-09-16,01:24,noche,6.5312,16.74,1463,6.5,Crema,4.934825565885153
2024-09-16,02:07,noche,7.4054,17.59,1349,6.5,Crema,4.953624181479704
2024-09-16,03:34,noche,6.6962,16.14,1557,6.5,Crema,5.033320065745057
2024-09-16,04:52,noche,7.631,15.15,1650,6.5,Crema,4.928187706750478
2024-09-16,05:27,noche,6.9898,14.79,1703,6.5,Crema,5.188363418836028
2024-09-16,06:31,noche,6.3224,15.74,1591,6.5,Crema,4.865808904667074
2024-09-17,06:09,mañana,7.0175,15.08,1671,6.5,Crema,4.971969253375796
2024-09-17,07:15,mañana,5.5653,16.43,1496,6.5,Crema,4.934040341258874
2024-09-17,08:08,mañana,6.2682,14.22,1780,6.5,Crema,5.21704668265306
2024-09-17,09:49,mañana,7.1899,19.48,1118,6.2,Crema,5.029483216476736
2024-09-17,10:38,mañana,7.6419,21.4,874,5.33,Crema,5.154776680920295
2024-09-17,11:47,mañana,7.8001,21.26,895,5.48,Crema,4.777165944044454
2024-09-17,12:26,mañana,6.8314,23.85,597,5.0,Crema,5.040057539880388
2024-09-17,13:09,mañana,7.461,25.64,346,5.0,Crema,5.133444619343516
2024-09-17,14:31,mañana,6.5558,27.0,206,5.0,Crema,5.012342598391314
2024-09-17,14:20,tarde,8.4742,26.95,200,5.0,Crema,5.159822056259802
2024-09-17,15:44,tarde,7.8514,26.32,296,5.0,Crema,4.922406732484944
2024-09-17,16:44,tarde,7.7496,24.71,476,5.0,Crema,5.211402116027837
2024-09-17,17:19,tarde,8.6869,24.72,487,5.0,Crema,5.344834718542888
2024-09-17,18:40,tarde,7.8584,21.94,807,5.16,Crema,4.945574215934051
2024-09-17,19:16,tarde,6.9801,23.02,696,5.0,Crema,4.933174621789885
2024-09-17,20:17,tarde,8.8237,20.69,977,5.7,Crema,5.218007671567655
2024-09-17,21:26,tarde,8.083,20.75,969,5.68,Crema,5.236935821859607
2024-09-17,22:41,tarde,7.911,19.67,1117,6.03,Crema,4.92157099592701
2024-09-17,22:48,noche,6.9264,20.11,1034,5.8,Crema,4.936971977435621
2024-09-17,23:14,noche,8.0054,19.22,1194,6.01,Crema,4.9577323086709235
2024-09-17,00:36,noche,7.8127,18.79,1217,6.22,Crema,4.798332423344858
2024-09-17,01:38,noche,6.5511,18.31,1259,6.35,Crema,4.86220220802737
2024-09-17,02:27,noche,6.8161,17.67,1346,6.47,Crema,4.84937888498719
2024-09-17,03:47,noche,8.0181,14.81,1703,6.5,Crema,4.8848303652343805
2024-09-17,04:52,noche,6.8776,16.39,1504,6.5,Crema,4.9947972668919824
2024-09-17,05:55,noche,7.0755,14.52,1715,6.5,Crema,5.035132209880478
2024-09-17,06:09,noche,6.4795,14.0,1812,6.5,Crema,5.232575073922112
2024-09-18,06:25,mañana,7.3679,15.72,1596,6.5,Crema,4.850246893889182
2024-09-18,07:17,mañana,7.154,16.35,1518,6.5,Crema,5.1476483597714875
2024-09-18,08:27,mañana,7.4829,16.02,1571,6.5,Crema,4.967901673366174
2024-09-18,09:42,mañana,7.4612,18.13,1293,6.44,Crema,4.992580443552135
2024-09-18,10:48,mañana,7.6609,20.57,977,5.65,Crema,5.101222923824991
2024-09-18,11:05,mañana,7.6351,21.88,826,5.38,Crema,4.831591696765655
2024-09-18,12:26,mañana,7.0953,22.16,782,5.06,Crema,5.0573614619276075
2024-09-18,13:02,mañana,7.191,26.19,300,5.0,Crema,5.024967831231958
2024-09-18,14:05,mañana,6.9517,27.0,200,5.0,Crema,5.073867689601222
2024-09-18,14:38,tarde,8.2612,27.0,200,5.0,Crema,5.043375296586173
2024-09-18,15:45,tarde,7.9483,26.8,217,5.0,Crema,5.3682950209866345
2024-09-18,16:57,tarde,7.8679,23.03,671,5.0,Crema,4.904339002362303
2024-09-18,17:58,tarde,7.6067,23.28,695,5.01,Crema,4.920350456749727
2024-09-18,18:55,tarde,7.153,22.46,743,5.0,Crema,4.906528921036285
2024-09-18,19:36,tarde,8.4299,22.96,704,5.0,Crema,4.916678432125962
2024-09-18,20:50,tarde,8.7713,20.78,961,5.6,Crema,4.904391930904023
2024-09-18,21:03,tarde,9.099,22.35,769,5.13,Crema,5.178352479666133
2024-09-18,22:27,tarde,8.0153,20.58,975,5.47,Crema,5.213075637198478
2024-09-18,22:11,noche,7.0054,19.49,1114,5.9,Crema,4.914388055937579
2024-09-18,23:31,noche,7.1908,20.02,1052,5.78,Crema,4.875146664034366
2024-09-18,00:21,noche,6.3263,16.21,1501,6.5,Crema,5.07071233345796
2024-09-18,01:11,noche,6.6272,18.63,1236,6.36,Crema,4.917166543357855
2024-09-18,02:51,noche,7.1505,17.77,1327,6.5,Crema,5.094939772663326
2024-09-18,03:55,noche,6.4515,14.86,1695,6.5,Crema,5.030438453127695
2024-09-18,04:10,noche,7.3899,15.91,1574,6.5,Crema,4.772638382750415
2024-09-18,05:01,noche,6.6251,15.22,1666,6.5,Crema,5.232125780199509
2024-09-18,06:35,noche,7.4324,14.0,1777,6.5,Crema,5.269381650964328
2024-09-19,06:23,mañana,6.7531,14.0,1791,6.5,Crema,4.908081696427342
2024-09-19,07:27,mañana,7.1866,16.16,1549,6.5,Crema,4.941844766009602
2024-09-19,08:46,mañana,7.1664,17.14,1400,6.5,Crema,5.042879808608736
2024-09-19,09:33,mañana,7.7392,20.25,1053,5.75,Crema,5.050168518498054
2024-09-19,10:55,mañana,7.3469,20.09,1075,5.88,Crema,5.098781640900925
2024-09-19,11:34,mañana,7.7858,21.2,883,5.45,Crema,5.3015306808149525
2024-09-19,12:34,mañana,7.4349,23.07,714,5.0,Crema,4.973457915875892
2024-09-19,13:47,mañana,7.6644,24.88,429,5.0,Crema,4.880255413319232
2024-09-19,14:04,mañana,6.2725,25.86,326,5.0,Crema,4.793102115797821
2024-09-19,14:57,tarde,7.2616,27.0,200,5.0,Crema,4.890360494008712
2024-09-19,15:56,tarde,8.0014,25.13,443,5.0,Crema,4.99503095406893
2024-09-19,16:22,tarde,8.3108,26.03,326,5.0,Crema,5.269183679527668
2024-09-19,17:37,tarde,7.9903,23.27,663,5.0,Crema,4.9223583051445745
2024-09-19,18:40,tarde,8.3035,23.96,546,5.0,Crema,5.033568192745835
2024-09-19,19:13,tarde,7.776,23.88,594,5.0,Crema,4.997536565589087
2024-09-19,20:48,tarde,8.9858,22.27,774,5.0,Crema,5.178258991017213
2024-09-19,21:12,tarde,7.5855,21.26,903,5.46,Crema,5.379039863881043
2024-09-19,22:42,tarde,7.945,21.7,859,5.24,Crema,4.920369684061952
2024-09-19,22:42,noche,7.4265,20.45,980,5.71,Crema,4.9265840836222665
2024-09-19,23:23,noche,7.4052,18.65,1248,6.43,Crema,5.156624131560361
2024-09-19,00:32,noche,7.4878,19.2,1136,6.03,Crema,5.102283723443946
2024-09-19,01:49,noche,7.4527,18.15,1293,6.5,Crema,5.277006098860405
2024-09-19,02:45,noche,7.4188,16.73,1438,6.5,Crema,5.087589227798895
2024-09-19,03:28,noche,7.4859,15.94,1547,6.5,Crema,4.946106186381941
2024-09-19,04:05,noche,6.6948,14.42,1776,6.5,Crema,5.088598224603847
2024-09-19,05:02,noche,6.6757,14.05,1811,6.5,Crema,5.166305537087436
2024-09-19,06:55,noche,6.7691,14.2,1780,6.5,Crema,5.123072327179605
2024-09-20,06:03,mañana,7.3043,14.0,1833,6.5,Crema,5.076091104666094
2024-09-20,07:07,mañana,6.8709,16.76,1475,6.5,Crema,5.160001203438373
2024-09-20,08:20,mañana,6.949,16.99,1437,6.5,Crema,5.175394338566851
2024-09-20,09:10,mañana,7.2745,19.93,1080,5.94,Crema,5.207323848655629
2024-09-20,10:40,mañana,7.3247,19.43,1107,5.98,Crema,5.097306483138446
2024-09-20,11:56,mañana,7.6296,19.77,1106,5.86,Crema,4.9749322879524716
2024-09-20,12:26,mañana,8.3986,24.06,559,5.0,Crema,5.022007052964998
2024-09-20,13:01,mañana,7.232,24.81,465,5.0,Crema,5.180976344976253
2024-09-20,14:28,mañana,7.2444,27.0,200,5.0,Crema,4.8774596493519145
2024-09-20,14:18,tarde,8.1005,27.0,200,5.0,Crema,5.055300996330935
2024-09-20,15:20,tarde,6.858,25.24,396,5.0,Crema,4.9409991781508955
2024-09-20,16:23,tarde,9.1236,23.66,608,5.0,Crema,5.004311723440223
2024-09-20,17:11,tarde,7.9789,25.37,407,5.0,Crema,5.191767779391095
2024-09-20,18:10,tarde,7.9354,23.71,584,5.0,Crema,5.028664860202985
2024-09-20,19:42,tarde,7.5087,22.18,777,5.04,Crema,5.006965482223422
2024-09-20,20:34,tarde,8.8751,21.28,896,5.33,Crema,4.796021578853012
2024-09-20,21:44,tarde,9.3161,21.12,892,5.39,Crema,5.1119380349040835
2024-09-20,22:21,tarde,8.4929,20.9,921,5.3,Crema,5.096822627171162
2024-09-20,22:07,noche,6.4049,20.44,979,5.5,Crema,5.324488208495819
2024-09-20,23:26,noche,6.9693,18.86,1218,6.35,Crema,4.9538332647570495
2024-09-20,00:53,noche,7.3324,17.86,1333,6.5,Crema,5.032872549149591
2024-09-20,01:38,noche,6.6377,18.08,1309,6.3,Crema,5.037407552556613
2024-09-20,02:50,noche,6.8408,17.58,1373,6.5,Crema,5.236617991964521
2024-09-20,03:49,noche,6.9737,14.89,1679,6.5,Crema,4.985705670141957
2024-09-20,04:36,noche,6.1794,14.21,1765,6.5,Crema,5.041853228865551
2024-09-20,05:00,noche,6.6251,14.93,1698,6.5,Crema,5.091184476457481
2024-09-20,06:40,noche,6.4965,14.0,1783,6.5,Crema,5.027991368473454
2024-09-23,06:20,mañana,6.6987,14.59,1703,6.5,Crema,4.933034957817421
2024-09-23,07:57,mañana,6.8481,15.79,1558,6.5,Crema,5.029113498934747
2024-09-23,08:34,mañana,7.0862,16.38,1524,6.5,Crema,5.161044762478966
2024-09-23,09:34,mañana,7.7136,18.44,1229,6.05,Crema,4.846022705088341
2024-09-23,10:10,mañana,7.007,19.3,1126,5.99,Crema,5.019945451122031
2024-09-23,11:11,mañana,8.1082,22.63,743,5.0,Crema,4.894981877759124
2024-09-23,12:59,mañana,7.1527,24.52,525,5.0,Crema,5.1792569943387265
2024-09-23,13:43,mañana,7.0473,26.41,276,5.0,Crema,4.771521964282433
2024-09-23,14:38,mañana,7.4543,26.84,220,5.0,Crema,4.916161722909262
2024-09-23,14:15,tarde,8.1099,27.0,205,5.0,Crema,5.056581781259678
2024-09-23,15:26,tarde,8.4416,26.85,236,5.0,Crema,5.234828604385151
2024-09-23,16:46,tarde,7.9292,24.94,442,5.0,Crema,4.990137460839052
2024-09-23,17:09,tarde,7.2309,24.17,548,5.0,Crema,4.91672007099602
2024-09-23,18:56,tarde,7.9026,22.75,701,5.0,Crema,5.282173560416089
2024-09-23,19:51,tarde,8.0321,21.92,844,5.29,Crema,4.7827979149375635
2024-09-23,20:23,tarde,8.588,21.24,883,5.44,Crema,4.670179106506987
2024-09-23,21:23,tarde,8.3003,22.08,823,5.11,Crema,5.066002167508
2024-09-23,22:21,tarde,8.1401,19.65,1103,5.77,Crema,4.924691866347108
2024-09-23,22:14,noche,7.3761,19.88,1081,5.8,Crema,4.846815077430393
2024-09-23,23:46,noche,6.6175,17.78,1326,6.5,Crema,5.106253467094903
2024-09-23,00:27,noche,6.7348,18.4,1256,6.43,Crema,5.03657010706568
2024-09-23,01:20,noche,7.0184,16.0,1546,6.5,Crema,4.91538820538949
2024-09-23,02:24,noche,6.6519,16.97,1437,6.5,Crema,4.807954340199366
2024-09-23,03:46,noche,6.5929,14.69,1718,6.5,Crema,5.130868599242022
2024-09-23,04:03,noche,7.1161,15.9,1558,6.5,Crema,5.097530176693799
2024-09-23,05:38,noche,6.5375,14.0,1802,6.5,Crema,4.985123620433092
2024-09-23,06:49,noche,7.6106,14.06,1771,6.5,Crema,5.276995549407149
2024-09-24,06:10,mañana,6.825,14.63,1708,6.5,Crema,4.839487285051077
2024-09-24,07:02,mañana,6.5962,15.56,1605,6.5,Crema,4.771171224361289
2024-09-24,08:37,mañana,6.912,16.75,1459,6.5,Crema,4.896213789517813
2024-09-24,09:25,mañana,7.1041,19.97,1046,5.86,Crema,4.9931620975466755
2024-09-24,10:09,mañana,7.1908,20.43,1001,5.76,Crema,5.036500917398404
2024-09-24,11:39,mañana,8.6183,21.4,906,5.46,Crema,4.96381459132155
2024-09-24,12:54,mañana,6.9421,24.16,550,5.0,Crema,5.052808309477144
2024-09-24,13:33,mañana,7.7019,24.11,554,5.0,Crema,4.812269086371433
2024-09-24,14:40,mañana,6.6045,27.0,200,5.0,Crema,5.216564690610989
2024-09-24,14:32,tarde,7.283,27.0,200,5.0,Crema,4.9876773232411145
2024-09-24,15:29,tarde,8.1165,26.6,213,5.0,Crema,5.167594374738219
2024-09-24,16:58,tarde,7.8519,24.67,503,5.0,Crema,5.051408801956655
2024-09-24,17:57,tarde,7.9906,22.93,696,5.0,Crema,5.0685129828730675
2024-09-24,18:58,tarde,7.8714,23.79,591,5.0,Crema,5.0854650920348305
2024-09-24,19:10,tarde,6.8768,22.86,710,5.0,Crema,5.067156284002597
2024-09-24,20:43,tarde,8.7047,21.87,825,5.27,Crema,5.096408413980131
2024-09-24,21:17,tarde,8.1629,19.27,1163,6.21,Crema,5.199372879519864
2024-09-24,22:13,tarde,8.5461,21.52,861,5.28,Crema,5.02947817545522
2024-09-24,22:18,noche,7.5004,19.73,1103,5.94,Crema,5.106350563638276
2024-09-24,23:24,noche,7.7385,19.36,1132,6.02,Crema,4.986539645856916
2024-09-24,00:24,noche,6.381,16.83,1421,6.5,Crema,5.216017582317421
2024-09-24,01:10,noche,7.1886,17.63,1357,6.5,Crema,4.8985411546911095
2024-09-24,02:01,noche,7.0361,16.75,1459,6.5,Crema,5.270141064936622
2024-09-24,03:31,noche,6.9511,15.82,1597,6.5,Crema,4.993976307403348
2024-09-24,04:36,noche,6.9168,15.43,1634,6.5,Crema,4.785383734682293
2024-09-24,05:53,noche,5.9798,14.04,1777,6.5,Crema,5.019215662236618
2024-09-24,06:12,noche,7.1343,15.63,1621,6.5,Crema,4.897842251378768
2024-09-25,06:06,mañana,6.3138,14.0,1770,6.5,Crema,5.126096532348309
2024-09-25,07:21,mañana,6.4462,14.63,1730,6.5,Crema,4.902106403104641
2024-09-25,08:37,mañana,7.0369,15.99,1547,6.5,Crema,4.933072485017783
2024-09-25,09:36,mañana,7.1712,17.9,1312,6.5,Crema,4.71656889035817
